id;eventname;hostname;traptime;i2;e2;h2;t2;formatline;fl2
10933288;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:10:57";10933394;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:11:49";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306298880"
10933288;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:10:57";10933393;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:11:49";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306298880"
10933288;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:10:57";10933392;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:11:49";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 306298880"
10933288;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:10:57";10933390;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:11:49";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306298880"
10933288;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:10:57";10933391;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:11:49";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306298880"
10933288;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:10:57";10933389;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:11:49";"1 0";"Link down on interface 306298880.  Admin state: $2.  Operational state: $3 "
10933288;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:10:57";10933348;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:11:19";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
10933288;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:10:57";10933347;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:11:19";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
10933288;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:10:57";10933346;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:11:19";"1 0";"A linkDown trap signifies that the SNMPv2 entity, 306266112"
10933288;alarmACmainsTrap;RC_EV_SCF2_MT_FTO_1;"2014-10-09 22:10:57";10933345;linkDown;AC_AL_SA30_MT_FTO_1;"2014-10-09 22:11:19";"1 0";"A linkDown trap signifies that the SNMP entity, acting in 306266112"
